code,population016,population_density_per_square_kilometre,land_area_in_square_kilometres,occupied_private_dwellings_by_structural_type_of_dwelling,housing_apartment_in_a_building_that_has_five_or_more_storeys,housing_apartment_in_a_building_that_has_fewer_than_five_storeys,housing_apartment_or_flat_in_a_duplex,housing_semi_detached_house,housing_other_single_attached_house,housing_single_detached_house,housing_row_house,housing_movable_dwelling,total_occupied_private_dwellings_by_period_of_construction5_percent_sample_data,x1960_or_before,x1961_to_1980,x1981_to_1990,x1991_to000,x2001_to005,x2006_to010,x2011_to016,average_household_size,persons_living_alone_per_cent,prevalence_of_low_income_based_on_the_low_income_measure_after_tax_lim_at_percent,total_economic_family_income_decile_group_for_the_population_in_private_households_100_percent_data,in_the_bottom_decile,in_the_second_decile,in_the_third_decile,in_the_fourth_decile,in_the_fifth_decile,in_the_sixth_decile,in_the_seventh_decile,in_the_eighth_decile,in_the_ninth_decile,in_the_top_decile,total_visible_minority_for_the_population_in_private_households5_percent_sample_data,total_visible_minority_population,vm_chinese,vm_south_asian,vm_black,vm_latin_american,vm_filipino,vm_arab,vm_southeast_asian,vm_west_asian,vm_korean,vm_japanese,vm_visible_minority_n_i_e,vm_multiple_visible_minorities,vm_not_a_visible_minority
129,29113,3929,7.41,9125,2120,735,645,805,15,3345,1440,5,9120,245,4905,1950,895,720,350,45,3.16,5.4,21.3,28825,4195,5030,3700,2990,2610,2500,2340,2260,1900,1305,28825,26365,16460,5315,1340,170,1420,275,260,125,70,60,245,630,2465
128,23757,3034,7.83,8135,3145,610,695,330,65,2790,515,0,8135,835,3275,1645,640,170,370,1200,2.88,8,22.6,23475,3905,3565,2940,2590,2210,2015,1840,1800,1505,1125,23470,20155,11110,4190,1545,230,1280,300,155,375,140,40,275,490,3320
20,12054,2435,4.95,4620,255,560,330,545,0,2840,85,0,4615,2905,1030,195,165,75,115,120,2.6,10.8,8.2,12030,725,815,1005,1060,1140,1265,1420,1500,1750,1345,12025,2490,275,540,300,180,615,90,55,20,65,35,140,180,9535
95,30526,10863,2.81,15935,8165,4795,455,1185,90,645,595,0,15945,6920,4080,1480,950,715,840,940,1.8,30,18.3,28650,4810,2225,1710,1630,1735,1720,1820,2210,2830,7995,28640,7270,2145,1125,935,405,350,300,190,340,605,255,125,480,21380
42,27695,2775,9.98,12125,6270,1315,40,285,0,3485,740,0,12125,2970,3675,1815,1185,950,990,540,2.23,18.6,13.7,27005,2600,2195,2050,1875,2045,2105,2230,2390,3135,6395,26995,12700,4630,2825,970,350,1135,550,110,755,560,210,155,470,14290
34,15873,3377,4.7,6080,2055,1070,640,165,15,2105,45,0,6095,2165,2235,460,375,325,290,220,2.56,12.5,17,15580,1825,1865,1595,1455,1410,1285,1240,1420,1620,1870,15580,5420,655,550,550,575,1950,155,150,270,305,35,95,135,10165
76,25797,14097,1.83,15075,14800,240,0,0,10,5,15,0,15075,665,2405,2545,2165,940,2415,3925,1.7,31.8,37.7,25600,8820,2020,1660,1380,1350,1400,1470,1805,2085,3600,25605,15925,7435,2420,775,460,380,1310,340,615,1340,335,155,370,9675
52,21396,4195,5.1,9535,5900,520,75,120,5,2025,880,0,9530,1475,2110,410,375,1230,1770,2150,2.22,17.1,23.7,21135,4005,1995,1585,1550,1620,1475,1670,1830,2195,3215,21140,14505,5860,1360,755,410,765,355,200,2440,1655,180,105,425,6635
49,13154,3240,4.06,4700,1775,570,100,495,0,1565,200,0,4700,400,3375,465,310,30,20,80,2.7,8.7,18.4,12655,1760,1315,1085,1025,905,1065,990,1020,1445,2055,12655,8250,4360,670,530,150,175,130,135,1015,710,70,45,260,4405
39,23236,4209,5.52,8610,1995,1260,315,45,115,4820,65,0,8615,2935,1670,860,1335,615,655,555,2.68,12.9,9.4,23110,1600,1460,1300,1225,1095,1040,1215,1540,2305,10315,23115,4845,1030,455,315,345,1790,90,75,305,195,65,10,170,18270
