code,neighbourhood,median_house_income_after_tax
1,West Humber-Clairville,70741
2,Mount Olive-Silverstone-Jamestown,55334
3,Thistletown-Beaumond Heights,65459
4,Rexdale-Kipling,63232
5,Elms-Old Rexdale,59576
6,Kingsview Village-The Westway,60824
7,Willowridge-Martingrove-Richview,71584
8,Humber Heights-Westmount,68996
9,Edenbridge-Humber Valley,84113
10,Princess-Rosethorn,139039
11,Eringate-Centennial-West Deane,88872
12,Markland Wood,86965
13,Etobicoke West Mall,63973
14,Islington-City Centre West,72921
15,Kingsway South,151552
16,Stonegate-Queensway,85138
17,Mimico,67525
18,New Toronto,50891
19,Long Branch,61536
20,Alderwood,83249
21,Humber Summit,61373
22,Humbermede,57609
23,Pelmo Park-Humberlea,79508
24,Black Creek,46580
25,Glenfield-Jane Heights,51964
26,Downsview-Roding-CFB,57611
27,York University Heights,53772
28,Rustic,44904
29,Maple Leaf,62976
30,Brookhaven-Amesbury,52988
31,Yorkdale-Glen Park,63778
32,Englemount-Lawrence,58003
33,Clanton Park,69997
34,Bathurst Manor,69634
35,Westminster-Branson,54101
36,Newtonbrook West,59675
37,Willowdale West,59675
38,Lansing-Westgate,80384
39,Bedford Park-Nortown,116672
40,St.Andrew-Windfields,98420
41,Bridle Path-Sunnybrook-York Mills,215798
42,Banbury-Don Mills,77547
43,Victoria Village,51867
44,Flemingdon Park,48917
45,Parkwoods-Donalda,65126
46,Pleasant View,70189
47,Don Valley Village,63997
48,Hillcrest Village,70539
49,Bayview Woods-Steeles,78965
50,Newtonbrook East,60358
51,Willowdale East,61920
52,Bayview Village,67355
53,Henry Farm,56644
54,O'Connor-Parkview,59729
55,Thorncliffe Park,46595
56,Leaside-Bennington,126930
57,Broadview North,52731
58,Old East York,77824
59,Danforth East York,81253
60,Woodbine-Lumsden,74608
61,Taylor-Massey,46669
62,East End-Danforth,69026
63,The Beaches,100365
64,Woodbine Corridor,76476
65,Greenwood-Coxwell,70574
66,Danforth,76597
67,Playter Estates-Danforth,73216
68,North Riverdale,89063
69,Blake-Jones,64483
70,South Riverdale,76172
71,Cabbagetown-South St.James Town,61184
72,Regent Park,42369
73,Moss Park,52490
74,North St.James Town,41016
75,Church-Yonge Corridor,56366
76,Bay Street Corridor,48737
77,Waterfront Communities-The Island,78479
78,Kensington-Chinatown,44216
79,University,57847
80,Palmerston-Little Italy,71168
81,Trinity-Bellwoods,72226
82,Niagara,79441
83,Dufferin Grove,59099
84,Little Portugal,66542
85,South Parkdale,41761
86,Roncesvalles,63130
87,High Park-Swansea,82753
88,High Park North,68116
89,Runnymede-Bloor West Village,112128
90,Junction Area,73720
91,Weston-Pellam Park,59682
92,Corso Italia-Davenport,71434
93,Dovercourt-Wallace Emerson-Junction,64331
94,Wychwood,66089
95,Annex,71053
96,Casa Loma,93022
97,Yonge-St.Clair,80136
98,Rosedale-Moore Park,106740
99,Mount Pleasant East,93566
100,Yonge-Eglinton,80896
101,Forest Hill South,94536
102,Forest Hill North,70920
103,Lawrence Park South,151885
104,Mount Pleasant West,61839
105,Lawrence Park North,144963
106,Humewood-Cedarvale,61440
107,Oakwood Village,58216
108,Briar Hill-Belgravia,60899
109,Caledonia-Fairbank,66048
110,Keelesdale-Eglinton West,57780
111,Rockcliffe-Smythe,54908
112,Beechborough-Greenbrook,45211
113,Weston,45695
114,Lambton Baby Point,84414
115,Mount Dennis,52162
116,Steeles,66719
117,L'Amoreaux,59445
118,Tam O'Shanter-Sullivan,58246
119,Wexford/Maryvale,62837
120,Clairlea-Birchmount,68524
121,Oakridge,39757
122,Birchcliffe-Cliffside,73216
123,Cliffcrest,75291
124,Kennedy Park,51028
125,Ionview,53177
126,Dorset Park,57986
127,Bendale,60292
128,Agincourt South-Malvern West,61992
129,Agincourt North,64686
130,Milliken,65861
131,Rouge,92457
132,Malvern,64114
133,Centennial Scarborough,114897
134,Highland Creek,102740
135,Morningside,59963
136,West Hill,56051
137,Woburn,56186
138,Eglinton East,53081
139,Scarborough Village,49568
140,Guildwood,87538
